ItemName	Type
Item_Cake	食物
Item_Jerky	食物
Item_HomeFood	食物
Item_DeliciousFood	食物
Item_DelicacyFood	食物
Item_LingStone	货币
Item_Ginseng	药草
Item_GanodermaLucidum	药草
Item_MagicHerb	药草
Item_Mint	药草
Item_Ginkgo	药草
Item_Healroot	药草
Item_SmallCycle	药草
Item_Hemostatics	药草
Item_Plaster	药草
Item_Anodyne	药草
Item_StoneEssenceDrug	药草
Item_Flour	食材
Item_Wheat	食材
Item_Mushroom	食材
Item_Lotusroot	食材
Item_Pear	食材
Item_BoarMeat	食材
Item_FrogMeat	食材
Item_TurtleMeat	食材
Item_BearMeat	食材
Item_Beef	食材
Item_RabbitMeat	食材
Item_ChickenMeat	食材
Item_WolfMeat	食材
Item_FishMeat	食材
Item_SnakeMeat	食材
Item_IronBlock	材料
Item_CopperBlock	材料
Item_SilverBlock	材料
Item_BrownRockBlock	材料
Item_GrayRockBlock	材料
Item_MarbleBlock	材料
Item_LingStoneBlock	材料
Item_RoughWoodBlock	材料
Item_HardWoodBlock	材料
Item_LingWoodBlock	材料
Item_WoodLeftover	材料
Item_HardWoodLeftover	材料
Item_ParasolWoodLeftover	材料
Item_LingWoodLeftover	材料
Item_BrownRockLeftover	材料
Item_GrayRockLeftover	材料
Item_MarbleLeftover	材料
Item_JadeLeftover	材料
Item_SkyStoneLeftover	材料
Item_LingStoneLeftover	材料
Item_LingCrystalLeftover	材料
Item_IronRockLeftover	材料
Item_CopperRockLeftover	材料
Item_SilverRockLeftover	材料
Item_DarksteelRockLeftover	材料
Item_StarEssenceLeftover	材料
Item_SilverGrit	材料
Item_CopperGrit	材料
Item_CottonCloth	布革
Item_PurpleCloth	布革
Item_YellowCloth	布革
Item_BlueCloth	布革
Item_RedCloth	布革
Item_WhiteCloth	布革
Item_BlackCloth	布革
Item_RabbitLeather	布革
Item_BearLeather	布革
Item_WolfLeather	布革
Item_BoarLeather	布革
Item_DeepBlueCloth	布革
Item_Cotton	原料
Item_IronRock	原料
Item_CopperRock	原料
Item_SilverRock	原料
Item_BrownRock	原料
Item_GrayRock	原料
Item_Marble	原料
Item_Wood	原料
Item_HardWood	原料
Item_LingWood	原料
Item_Shit	原料
Item_JinEssence		原料
Item_MuEssence		原料
Item_ShuiEssence	原料
Item_HuoEssence		原料
Item_TuEssence		原料
Item_SoulPearl		原料
